model,report,matrix,precision_0,recall_0,f1_0,support_0,precision_1,recall_1,f1_1,support_1,accuracy,macro avg_precision,macro avg_recall,macro avg_f1,weighted avg_precision,weighted avg_recall,weighted avg_f1
FastText_gp_pca_300,"              precision    recall  f1-score   support

         非谣言     0.9077    0.9529    0.9297       361
          谣言     0.9045    0.8214    0.8610       196

    accuracy                         0.9066       557
   macro avg     0.9061    0.8872    0.8953       557
weighted avg     0.9065    0.9066    0.9055       557

","[['344', '17'], ['35', '161']]",0.9077,0.9529,0.9297,361,0.9045,0.8214,0.8610,196,0.9066,0.9061,0.8872,0.8953,0.9065,0.9066,0.9055
FastText_gp_pca_300_sentiment,"              precision    recall  f1-score   support

         非谣言     0.9589    0.8393    0.8951       361
          谣言     0.7593    0.9337    0.8375       196

    accuracy                         0.8725       557
   macro avg     0.8591    0.8865    0.8663       557
weighted avg     0.8887    0.8725    0.8749       557

","[['303', '58'], ['13', '183']]",0.9589,0.8393,0.8951,361,0.7593,0.9337,0.8375,196,0.8725,0.8591,0.8865,0.8663,0.8887,0.8725,0.8749
FastText_gp_raw_100,"              precision    recall  f1-score   support

         非谣言     0.9300    0.9197    0.9248       361
          谣言     0.8550    0.8724    0.8636       196

    accuracy                         0.9031       557
   macro avg     0.8925    0.8961    0.8942       557
weighted avg     0.9036    0.9031    0.9033       557

","[['332', '29'], ['25', '171']]",0.9300,0.9197,0.9248,361,0.8550,0.8724,0.8636,196,0.9031,0.8925,0.8961,0.8942,0.9036,0.9031,0.9033
FastText_gp_raw_100_sentiment,"              precision    recall  f1-score   support

         非谣言     0.9280    0.9280    0.9280       361
          谣言     0.8673    0.8673    0.8673       196

    accuracy                         0.9066       557
   macro avg     0.8977    0.8977    0.8977       557
weighted avg     0.9066    0.9066    0.9066       557

","[['335', '26'], ['26', '170']]",0.9280,0.9280,0.9280,361,0.8673,0.8673,0.8673,196,0.9066,0.8977,0.8977,0.8977,0.9066,0.9066,0.9066
FastText_gp_raw_300,"              precision    recall  f1-score   support

         非谣言     0.8945    0.9391    0.9162       361
          谣言     0.8764    0.7959    0.8342       196

    accuracy                         0.8887       557
   macro avg     0.8854    0.8675    0.8752       557
weighted avg     0.8881    0.8887    0.8874       557

","[['339', '22'], ['40', '156']]",0.8945,0.9391,0.9162,361,0.8764,0.7959,0.8342,196,0.8887,0.8854,0.8675,0.8752,0.8881,0.8887,0.8874
FastText_gp_raw_300_sentiment,"              precision    recall  f1-score   support

         非谣言     0.9286    0.9363    0.9324       361
          谣言     0.8808    0.8673    0.8740       196

    accuracy                         0.9120       557
   macro avg     0.9047    0.9018    0.9032       557
weighted avg     0.9118    0.9120    0.9119       557

","[['338', '23'], ['26', '170']]",0.9286,0.9363,0.9324,361,0.8808,0.8673,0.8740,196,0.9120,0.9047,0.9018,0.9032,0.9118,0.9120,0.9119
FastText_gp_raw_ldia_100,"              precision    recall  f1-score   support

         非谣言     0.9064    0.9391    0.9224       361
          谣言     0.8798    0.8214    0.8496       196

    accuracy                         0.8977       557
   macro avg     0.8931    0.8802    0.8860       557
weighted avg     0.8970    0.8977    0.8968       557

","[['339', '22'], ['35', '161']]",0.9064,0.9391,0.9224,361,0.8798,0.8214,0.8496,196,0.8977,0.8931,0.8802,0.8860,0.8970,0.8977,0.8968
FastText_gp_raw_ldia_100_sentiment,"              precision    recall  f1-score   support

         非谣言     0.9144    0.9169    0.9156       361
          谣言     0.8462    0.8418    0.8440       196

    accuracy                         0.8905       557
   macro avg     0.8803    0.8794    0.8798       557
weighted avg     0.8904    0.8905    0.8904       557

","[['331', '30'], ['31', '165']]",0.9144,0.9169,0.9156,361,0.8462,0.8418,0.8440,196,0.8905,0.8803,0.8794,0.8798,0.8904,0.8905,0.8904
FastText_gp_raw_ldia_300,"              precision    recall  f1-score   support

         非谣言     0.9104    0.9003    0.9053       361
          谣言     0.8200    0.8367    0.8283       196

    accuracy                         0.8779       557
   macro avg     0.8652    0.8685    0.8668       557
weighted avg     0.8786    0.8779    0.8782       557

","[['325', '36'], ['32', '164']]",0.9104,0.9003,0.9053,361,0.8200,0.8367,0.8283,196,0.8779,0.8652,0.8685,0.8668,0.8786,0.8779,0.8782
FastText_gp_raw_ldia_300_sentiment,"              precision    recall  f1-score   support

         非谣言     0.9122    0.8920    0.9020       361
          谣言     0.8088    0.8418    0.8250       196

    accuracy                         0.8743       557
   macro avg     0.8605    0.8669    0.8635       557
weighted avg     0.8758    0.8743    0.8749       557

","[['322', '39'], ['31', '165']]",0.9122,0.8920,0.9020,361,0.8088,0.8418,0.8250,196,0.8743,0.8605,0.8669,0.8635,0.8758,0.8743,0.8749
FastText_gp_raw_pca_100,"              precision    recall  f1-score   support

         非谣言     0.9158    0.9335    0.9246       361
          谣言     0.8730    0.8418    0.8571       196

    accuracy                         0.9013       557
   macro avg     0.8944    0.8877    0.8908       557
weighted avg     0.9007    0.9013    0.9008       557

","[['337', '24'], ['31', '165']]",0.9158,0.9335,0.9246,361,0.8730,0.8418,0.8571,196,0.9013,0.8944,0.8877,0.8908,0.9007,0.9013,0.9008
FastText_gp_raw_pca_100_sentiment,"              precision    recall  f1-score   support

         非谣言     0.9133    0.9335    0.9233       361
          谣言     0.8723    0.8367    0.8542       196

    accuracy                         0.8995       557
   macro avg     0.8928    0.8851    0.8887       557
weighted avg     0.8989    0.8995    0.8990       557

","[['337', '24'], ['32', '164']]",0.9133,0.9335,0.9233,361,0.8723,0.8367,0.8542,196,0.8995,0.8928,0.8851,0.8887,0.8989,0.8995,0.8990
FastText_gp_raw_pca_300,"              precision    recall  f1-score   support

         非谣言     0.8788    0.9640    0.9194       361
          谣言     0.9193    0.7551    0.8291       196

    accuracy                         0.8905       557
   macro avg     0.8990    0.8595    0.8743       557
weighted avg     0.8930    0.8905    0.8876       557

","[['348', '13'], ['48', '148']]",0.8788,0.9640,0.9194,361,0.9193,0.7551,0.8291,196,0.8905,0.8990,0.8595,0.8743,0.8930,0.8905,0.8876
FastText_gp_raw_pca_300_sentiment,"              precision    recall  f1-score   support

         非谣言     0.8785    0.9612    0.9180       361
          谣言     0.9136    0.7551    0.8268       196

    accuracy                         0.8887       557
   macro avg     0.8960    0.8582    0.8724       557
weighted avg     0.8908    0.8887    0.8859       557

","[['347', '14'], ['48', '148']]",0.8785,0.9612,0.9180,361,0.9136,0.7551,0.8268,196,0.8887,0.8960,0.8582,0.8724,0.8908,0.8887,0.8859
FastText_gp_raw_svd_100,"              precision    recall  f1-score   support

         非谣言     0.9160    0.9363    0.9260       361
          谣言     0.8777    0.8418    0.8594       196

    accuracy                         0.9031       557
   macro avg     0.8968    0.8891    0.8927       557
weighted avg     0.9025    0.9031    0.9026       557

","[['338', '23'], ['31', '165']]",0.9160,0.9363,0.9260,361,0.8777,0.8418,0.8594,196,0.9031,0.8968,0.8891,0.8927,0.9025,0.9031,0.9026
FastText_gp_raw_svd_100_sentiment,"              precision    recall  f1-score   support

         非谣言     0.9088    0.9391    0.9237       361
          谣言     0.8804    0.8265    0.8526       196

    accuracy                         0.8995       557
   macro avg     0.8946    0.8828    0.8882       557
weighted avg     0.8988    0.8995    0.8987       557

","[['339', '22'], ['34', '162']]",0.9088,0.9391,0.9237,361,0.8804,0.8265,0.8526,196,0.8995,0.8946,0.8828,0.8882,0.8988,0.8995,0.8987
FastText_gp_raw_svd_300,"              precision    recall  f1-score   support

         非谣言     0.8785    0.9612    0.9180       361
          谣言     0.9136    0.7551    0.8268       196

    accuracy                         0.8887       557
   macro avg     0.8960    0.8582    0.8724       557
weighted avg     0.8908    0.8887    0.8859       557

","[['347', '14'], ['48', '148']]",0.8785,0.9612,0.9180,361,0.9136,0.7551,0.8268,196,0.8887,0.8960,0.8582,0.8724,0.8908,0.8887,0.8859
FastText_gp_raw_svd_300_sentiment,"              precision    recall  f1-score   support

         非谣言     0.8943    0.9612    0.9266       361
          谣言     0.9172    0.7908    0.8493       196

    accuracy                         0.9013       557
   macro avg     0.9057    0.8760    0.8879       557
weighted avg     0.9024    0.9013    0.8994       557

","[['347', '14'], ['41', '155']]",0.8943,0.9612,0.9266,361,0.9172,0.7908,0.8493,196,0.9013,0.9057,0.8760,0.8879,0.9024,0.9013,0.8994
FastText_gp_svd_100,"              precision    recall  f1-score   support

         非谣言     0.9106    0.9307    0.9205       361
          谣言     0.8670    0.8316    0.8490       196

    accuracy                         0.8959       557
   macro avg     0.8888    0.8812    0.8848       557
weighted avg     0.8952    0.8959    0.8954       557

","[['336', '25'], ['33', '163']]",0.9106,0.9307,0.9205,361,0.8670,0.8316,0.8490,196,0.8959,0.8888,0.8812,0.8848,0.8952,0.8959,0.8954
FastText_gp_svd_100_sentiment,"              precision    recall  f1-score   support

         非谣言     0.9045    0.9446    0.9241       361
          谣言     0.8889    0.8163    0.8511       196

    accuracy                         0.8995       557
   macro avg     0.8967    0.8805    0.8876       557
weighted avg     0.8990    0.8995    0.8984       557

","[['341', '20'], ['36', '160']]",0.9045,0.9446,0.9241,361,0.8889,0.8163,0.8511,196,0.8995,0.8967,0.8805,0.8876,0.8990,0.8995,0.8984
FastText_gp_svd_300,"              precision    recall  f1-score   support

         非谣言     0.9026    0.9501    0.9258       361
          谣言     0.8983    0.8112    0.8525       196

    accuracy                         0.9013       557
   macro avg     0.9005    0.8807    0.8892       557
weighted avg     0.9011    0.9013    0.9000       557

","[['343', '18'], ['37', '159']]",0.9026,0.9501,0.9258,361,0.8983,0.8112,0.8525,196,0.9013,0.9005,0.8807,0.8892,0.9011,0.9013,0.9000
FastText_gp_svd_300_sentiment,"              precision    recall  f1-score   support

         非谣言     0.9515    0.8698    0.9088       361
          谣言     0.7930    0.9184    0.8511       196

    accuracy                         0.8869       557
   macro avg     0.8722    0.8941    0.8799       557
weighted avg     0.8957    0.8869    0.8885       557

","[['314', '47'], ['16', '180']]",0.9515,0.8698,0.9088,361,0.7930,0.9184,0.8511,196,0.8869,0.8722,0.8941,0.8799,0.8957,0.8869,0.8885
Transformer,"              precision    recall  f1-score   support

         非谣言     0.9456    0.9141    0.9296       361
          谣言     0.8510    0.9031    0.8762       196

    accuracy                         0.9102       557
   macro avg     0.8983    0.9086    0.9029       557
weighted avg     0.9123    0.9102    0.9108       557

","[['330', '31'], ['19', '177']]",0.9456,0.9141,0.9296,361,0.8510,0.9031,0.8762,196,0.9102,0.8983,0.9086,0.9029,0.9123,0.9102,0.9108
fastText_lda_100,"              precision    recall  f1-score   support

   non-rumor     1.0000    0.6883    0.8154       369
       rumor     0.6205    1.0000    0.7658       188

    accuracy                         0.7935       557
   macro avg     0.8102    0.8442    0.7906       557
weighted avg     0.8719    0.7935    0.7987       557

","[['254', '115'], ['0', '188']]",1.0000,0.6883,0.8154,369,0.6205,1.0000,0.7658,188,0.7935,0.8102,0.8442,0.7906,0.8719,0.7935,0.7987
fastText_lda_100_sentiment,"              precision    recall  f1-score   support

   non-rumor     0.9905    0.5637    0.7185       369
       rumor     0.5360    0.9894    0.6953       188

    accuracy                         0.7074       557
   macro avg     0.7632    0.7765    0.7069       557
weighted avg     0.8371    0.7074    0.7107       557

","[['208', '161'], ['2', '186']]",0.9905,0.5637,0.7185,369,0.5360,0.9894,0.6953,188,0.7074,0.7632,0.7765,0.7069,0.8371,0.7074,0.7107
fastText_lda_300,"              precision    recall  f1-score   support

   non-rumor     0.9878    0.6558    0.7883       369
       rumor     0.5929    0.9840    0.7400       188

    accuracy                         0.7666       557
   macro avg     0.7904    0.8199    0.7641       557
weighted avg     0.8545    0.7666    0.7720       557

","[['242', '127'], ['3', '185']]",0.9878,0.6558,0.7883,369,0.5929,0.9840,0.7400,188,0.7666,0.7904,0.8199,0.7641,0.8545,0.7666,0.7720
fastText_lda_300_sentiment,"              precision    recall  f1-score   support

   non-rumor     0.9455    0.5637    0.7063       369
       rumor     0.5223    0.9362    0.6705       188

    accuracy                         0.6894       557
   macro avg     0.7339    0.7499    0.6884       557
weighted avg     0.8026    0.6894    0.6942       557

","[['208', '161'], ['12', '176']]",0.9455,0.5637,0.7063,369,0.5223,0.9362,0.6705,188,0.6894,0.7339,0.7499,0.6884,0.8026,0.6894,0.6942
ldia_100,"              precision    recall  f1-score   support

   non-rumor     0.7483    0.5962    0.6637       369
       rumor     0.4335    0.6064    0.5055       188

    accuracy                         0.5996       557
   macro avg     0.5909    0.6013    0.5846       557
weighted avg     0.6420    0.5996    0.6103       557

","[['220', '149'], ['74', '114']]",0.7483,0.5962,0.6637,369,0.4335,0.6064,0.5055,188,0.5996,0.5909,0.6013,0.5846,0.6420,0.5996,0.6103
ldia_100_sentiment,"              precision    recall  f1-score   support

   non-rumor     0.7754    0.5989    0.6758       369
       rumor     0.4559    0.6596    0.5391       188

    accuracy                         0.6194       557
   macro avg     0.6157    0.6292    0.6075       557
weighted avg     0.6676    0.6194    0.6297       557

","[['221', '148'], ['64', '124']]",0.7754,0.5989,0.6758,369,0.4559,0.6596,0.5391,188,0.6194,0.6157,0.6292,0.6075,0.6676,0.6194,0.6297
ldia_300,"              precision    recall  f1-score   support

   non-rumor     0.7509    0.5881    0.6596       369
       rumor     0.4328    0.6170    0.5088       188

    accuracy                         0.5978       557
   macro avg     0.5919    0.6025    0.5842       557
weighted avg     0.6435    0.5978    0.6087       557

","[['217', '152'], ['72', '116']]",0.7509,0.5881,0.6596,369,0.4328,0.6170,0.5088,188,0.5978,0.5919,0.6025,0.5842,0.6435,0.5978,0.6087
ldia_300_sentiment,"              precision    recall  f1-score   support

   non-rumor     0.7345    0.5474    0.6273       369
       rumor     0.4078    0.6117    0.4894       188

    accuracy                         0.5691       557
   macro avg     0.5712    0.5796    0.5583       557
weighted avg     0.6243    0.5691    0.5808       557

","[['202', '167'], ['73', '115']]",0.7345,0.5474,0.6273,369,0.4078,0.6117,0.4894,188,0.5691,0.5712,0.5796,0.5583,0.6243,0.5691,0.5808
pca_100,"              precision    recall  f1-score   support

   non-rumor     0.9522    0.7019    0.8081       369
       rumor     0.6140    0.9309    0.7400       188

    accuracy                         0.7792       557
   macro avg     0.7831    0.8164    0.7740       557
weighted avg     0.8381    0.7792    0.7851       557

","[['259', '110'], ['13', '175']]",0.9522,0.7019,0.8081,369,0.6140,0.9309,0.7400,188,0.7792,0.7831,0.8164,0.7740,0.8381,0.7792,0.7851
pca_100_sentiment,"              precision    recall  f1-score   support

   non-rumor     0.9027    0.7290    0.8066       369
       rumor     0.6139    0.8457    0.7114       188

    accuracy                         0.7684       557
   macro avg     0.7583    0.7874    0.7590       557
weighted avg     0.8052    0.7684    0.7745       557

","[['269', '100'], ['29', '159']]",0.9027,0.7290,0.8066,369,0.6139,0.8457,0.7114,188,0.7684,0.7583,0.7874,0.7590,0.8052,0.7684,0.7745
pca_300,"              precision    recall  f1-score   support

   non-rumor     0.9483    0.7453    0.8346       369
       rumor     0.6479    0.9202    0.7604       188

    accuracy                         0.8043       557
   macro avg     0.7981    0.8327    0.7975       557
weighted avg     0.8469    0.8043    0.8096       557

","[['275', '94'], ['15', '173']]",0.9483,0.7453,0.8346,369,0.6479,0.9202,0.7604,188,0.8043,0.7981,0.8327,0.7975,0.8469,0.8043,0.8096
pca_300_sentiment,"              precision    recall  f1-score   support

   non-rumor     0.9133    0.7425    0.8191       369
       rumor     0.6304    0.8617    0.7281       188

    accuracy                         0.7828       557
   macro avg     0.7718    0.8021    0.7736       557
weighted avg     0.8178    0.7828    0.7884       557

","[['274', '95'], ['26', '162']]",0.9133,0.7425,0.8191,369,0.6304,0.8617,0.7281,188,0.7828,0.7718,0.8021,0.7736,0.8178,0.7828,0.7884
svd_100,"              precision    recall  f1-score   support

   non-rumor     0.8635    0.6856    0.7644       369
       rumor     0.5606    0.7872    0.6549       188

    accuracy                         0.7199       557
   macro avg     0.7120    0.7364    0.7096       557
weighted avg     0.7613    0.7199    0.7274       557

","[['253', '116'], ['40', '148']]",0.8635,0.6856,0.7644,369,0.5606,0.7872,0.6549,188,0.7199,0.7120,0.7364,0.7096,0.7613,0.7199,0.7274
svd_100_sentiment,"              precision    recall  f1-score   support

   non-rumor     0.8653    0.6965    0.7718       369
       rumor     0.5692    0.7872    0.6607       188

    accuracy                         0.7271       557
   macro avg     0.7173    0.7419    0.7162       557
weighted avg     0.7654    0.7271    0.7343       557

","[['257', '112'], ['40', '148']]",0.8653,0.6965,0.7718,369,0.5692,0.7872,0.6607,188,0.7271,0.7173,0.7419,0.7162,0.7654,0.7271,0.7343
svd_300,"              precision    recall  f1-score   support

   non-rumor     0.9357    0.7100    0.8074       369
       rumor     0.6137    0.9043    0.7312       188

    accuracy                         0.7756       557
   macro avg     0.7747    0.8071    0.7693       557
weighted avg     0.8270    0.7756    0.7817       557

","[['262', '107'], ['18', '170']]",0.9357,0.7100,0.8074,369,0.6137,0.9043,0.7312,188,0.7756,0.7747,0.8071,0.7693,0.8270,0.7756,0.7817
svd_300_sentiment,"              precision    recall  f1-score   support

   non-rumor     0.9352    0.6260    0.7500       369
       rumor     0.5548    0.9149    0.6908       188

    accuracy                         0.7235       557
   macro avg     0.7450    0.7705    0.7204       557
weighted avg     0.8068    0.7235    0.7300       557

","[['231', '138'], ['16', '172']]",0.9352,0.6260,0.7500,369,0.5548,0.9149,0.6908,188,0.7235,0.7450,0.7705,0.7204,0.8068,0.7235,0.7300
tfidf,"              precision    recall  f1-score   support

   non-rumor     0.9388    0.4986    0.6513       369
       rumor     0.4875    0.9362    0.6412       188

    accuracy                         0.6463       557
   macro avg     0.7132    0.7174    0.6462       557
weighted avg     0.7865    0.6463    0.6479       557

","[['184', '185'], ['12', '176']]",0.9388,0.4986,0.6513,369,0.4875,0.9362,0.6412,188,0.6463,0.7132,0.7174,0.6462,0.7865,0.6463,0.6479
